project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Iraharen,Algeria,operating,2004,,TotalEnergies,TotalEnergies (63.7%);Cepsa (11.2%);Sonatrach (25%),TotalEnergies (63.7%);Mubadala Investment Company (7.1%);Carlyle Group (4.2%);Sonatrach SPA (25%),oil and gas,field,28.603,2.618,https://www.gem.wiki/Iraharen_Oil_and_Gas_Field_(Algeria)
Menzel Ledjmet Est (MLE),Algeria,operating,,2013,Eni S.P.A.,Eni S.P.A. (75%);Sonatrach (25%),Eni S.P.A. (75%);Sonatrach SPA (25%),oil and gas,field,30.167,7.6636,https://www.gem.wiki/Menzel_Ledjmet_Est_(MLE)_Oil_and_Gas_Field_(Algeria)
Menzel Ledjmet Nord (MLN),Algeria,operating,1996,2003,Pertamina International EP,Pertamina (65%);Repsol (35%),PT Pertamina (65%);Repsol SA (35%),oil,field,30.187,7.9922,https://www.gem.wiki/Menzel_Ledjmet_Nord_(MLN)_Oil_Field_(Algeria)
North Berkine,Algeria,operating,,2019,Eni S.P.A.,Eni S.P.A. (49%);Sonatrach (51%),Eni S.P.A. (49%);Sonatrach SPA (51%),oil and gas,complex,26.418,9.0796,https://www.gem.wiki/North_Berkine_Oil_and_Gas_Complex_(Algeria)
Ohanet (Nord et Sud),Algeria,operating,1960,2003,Sonatrach,Sonatrach (100%),Sonatrach SPA (100%),oil and gas,field,28.695,8.7174,https://www.gem.wiki/Ohanet_(Nord_et_Sud)_Oil_and_Gas_Field_(Algeria)
Ourhoud,Algeria,operating,1994,2002,Cepsa,Sonatrach (36%);Cepsa (39%);Anadarko (9%);Eni S.P.A. (5%);Other (11%),Sonatrach SPA (36%);Mubadala Investment Company (24.6%);Carlyle Group (14.4%);Occidental Petroleum Corporation (9%);Eni S.P.A. (5%);Other (11%),oil,field,30.459,8.1248,https://www.gem.wiki/Ourhoud_Oil_Field_(Algeria)
Reggane,Algeria,operating,,,,,,gas,project,27.213,0.338,https://www.gem.wiki/Reggane_Gas_Project_(Algeria)
Rhourde El Baguel,Algeria,operating,1962,1962,Sonatrach,Sonatrach (100%),Sonatrach SPA (100%),oil,field,31.499,6.707,https://www.gem.wiki/Rhourde_El_Baguel_Oil_Field_(Algeria)
Rhourde El Krouf (RKF),Algeria,operating,,,Cepsa,Cepsa (49%);Sonatrach (51%),Mubadala Investment Company (30.9%);Carlyle Group (18.1%);Sonatrach SPA (51%),oil and gas,field,30.602,8.438,https://www.gem.wiki/Rhourde_El_Krouf_(RKF)_Oil_and_Gas_Field_(Algeria)
Rhourde Nouss,Algeria,operating,1962,,Sonatrach,Sonatrach (100%),Sonatrach SPA (100%),oil and gas,field,29.645,6.445,https://www.gem.wiki/Rhourde_Nouss_Oil_and_Gas_Field_(Algeria)
Rhourde Oulad Djemma (ROD),Algeria,operating,1997,2003,Eni S.P.A.,BHP;Eni S.P.A.;Sonatrach,BHP Group;Eni S.P.A.;Sonatrach SPA,oil,complex,31.241,9.045,https://www.gem.wiki/Rhourde_Oulad_Djemma_(ROD)_Oil_Complex_(Algeria)
Stah,Algeria,operating,1971,1975,Sonatrach,Sonatrach,Sonatrach SPA,oil,field,28.962,9.648,https://www.gem.wiki/Stah_Oil_Field_(Algeria)
Tamadanet,Algeria,operating,1994,1996,Sonatrach,Sonatrach,Sonatrach SPA,oil and gas,field,28.659,8.931,https://www.gem.wiki/Tamadanet_Oil_and_Gas_Field_(Algeria)
Timimoun,Algeria,operating,,2018,"Cepsa, TotalEnergies, and Sonatrach",TotalEnergies (37.8%);Sonatrach (51%);Cepsa (11.2%),TotalEnergies (37.8%);Sonatrach SPA (51%);Mubadala Investment Company (7.1%);Carlyle Group (4.2%),gas,field,28.242,1.69,https://www.gem.wiki/Timimoun_Gas_Field_(Algeria)
Tin Fouye-Tabankort (TFT),Algeria,operating,1961,1999,Sonatrach,TotalEnergies (49%);Sonatrach (51%),TotalEnergies (49%);Sonatrach SPA (51%),oil and gas,field,28.554,7.225,https://www.gem.wiki/Tin_Fouye-Tabankort_(TFT)_Gas_Field_(Algeria)
Tinerkouk,Algeria,in development,2007,2024 (expected),Sonatrach,,,gas,field,29.507,0.176,https://www.gem.wiki/Tinerkouk_Gas_Field_(Algeria)
