project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Dorra,Kuwait-Saudi Arabia,in development,1967,,Khafji Joint Operations,Kuwait Gulf Oil Company (50%);Aramco Gulf Oil Company (50%),Kuwait Petroleum Corporation (50%);Saudi Aramco (50%),oil and gas,field,28.969,49.112,https://www.gem.wiki/Dorra_Oil_and_Gas_Field_(Kuwait-Saudi_Arabia)
Khafji,Kuwait-Saudi Arabia,operating,1960,1961,Khafji Joint Operations,Kuwait Gulf Oil Company (50%);Aramco Gulf Oil Company (50%),Kuwait Petroleum Corporation (50%);Saudi Aramco (50%),oil,field,28.274,48.886,https://www.gem.wiki/Khafji_Oil_Field_(Kuwait-Saudi_Arabia)
Onshore Neutral Zone,Kuwait-Saudi Arabia,operating,,,,,,oil and gas,complex,28.447,47.862,https://www.gem.wiki/Onshore_Neutral_Zone_Oil_and_Gas_Complex_(Kuwait-Saudi_Arabia)
South Umm-Gudair,Kuwait-Saudi Arabia,operating,1962,,Wafra Joint Operations,Kuwait Gulf Oil Company (50%);Saudi Arabian Chevron (50%),Kuwait Petroleum Corporation (50%);Chevron Corporation (50%),oil and gas,field,28.447,47.862,https://www.gem.wiki/South_Umm-Gudair_Oil_and_Gas_Field_(Kuwait-Saudi_Arabia)
Wafra,Kuwait-Saudi Arabia,operating,1954,1954,Wafra Joint Operations,Kuwait Gulf Oil Company (50%);Saudi Arabian Chevron (50%),Kuwait Petroleum Corporation (50%);Chevron Corporation (50%),oil,field,28.589,47.889,https://www.gem.wiki/Wafra_Oil_Field_(Kuwait-Saudi_Arabia)
Abu Attifel,Libya,operating,1967,1972,Mellitah Oil & Gas,Mellitah Oil & Gas (100%),Eni (15%);National Oil Corporation (Libya) (85%),oil,field,26.418,18.37,https://www.gem.wiki/Bu_Attifel_Oil_Field_(Libya)
Al Jurf,Libya,operating,1976,2003,Mabruk Oil Operations,National Oil Corporation (Libya) (50%);TotalEnergies (37.5%);Wintershall DEA (12.5%),National Oil Corporation (Libya) (50%);National Oil Corporation (Libya) (50%);TotalEnergies (37.5%);BASF SE (12.5%),oil,field,33.512,12.022,https://www.gem.wiki/Al_Jurf_Oil_Field_(Libya)
Amal,Libya,operating,1959,,Harouge Oil Operations Company,Harouge Oil Operations Company (100%),National Oil Corporation (88%);Suncor Energy Inc. (12%),oil,field,29.484,21.102,https://www.gem.wiki/Amal_Oil_Field_(Libya)
As-Sarah,Libya,operating,1989,1989,Sarir Oil Operations,Wintershall Aktiengesellschaft (WIAG);National Oil Corporation (Libya),Gazprom EP International;Wintershall Dea;National Oil Corporation (Libya);National Oil Corporation (Libya),oil,field,29.336,21.624,https://www.gem.wiki/As-Sarah_Oil_Field_(Libya)
Augila-Nafoora,Libya,operating,1956,1966,Arabian Gulf Oil Company,National Oil Corporation (Libya);OMV,National Oil Corporation (Libya);National Oil Corporation (Libya);OMV Aktiengesellschaft,oil,field,29.254,21.523,https://www.gem.wiki/Augila-Nafoora_Oil_Field_(Libya)
Bahi,Libya,shut in,1958,1970,Waha Oil Company,National Oil Corporation (Libya) (59.2%);Marathon Oil (16.3%);ConocoPhillips (16.3%);Hess Corporation (8.2%),National Oil Corporation (Libya) (59.2%);National Oil Corporation (Libya) (59.2%);Marathon Oil (16.3%);ConocoPhillips (16.3%);Hess Corporation (8.2%),oil and gas,field,29.789,17.554,https://www.gem.wiki/Bahi_Oil_and_Gas_Field_(Libya)
Bahr Es Salam (Structures A&E),Libya,in development,,2026,Mellitah Oil & Gas,,,oil and gas,field,33.77,12.658,https://www.gem.wiki/Bahr_Es_Salam_(Structures_A&E)_Oil_and_Gas_Field_(Libya)
Bahr Es Salam (Structures B&C),Libya,operating,,2005,Mellitah Oil & Gas,Mellitah Oil & Gas (100%),Eni (15%);National Oil Corporation (Libya) (85%),gas,field,33.757,12.678,https://www.gem.wiki/Bahr_Es_Salam_Gas_Field_(Libya)
Beda,Libya,operating,1959,,Arabian Gulf Oil Company,Arabian Gulf Oil Company,National Oil Corporation (Libya),oil,field,28.43,19.038,https://www.gem.wiki/Beda_Oil_Field_(Libya)
Bouri,Libya,operating,1977,1988,Mellitah Oil & Gas,Eni S.P.A. (30%);National Oil Corporation (Libya) (70%),Eni S.P.A. (30%);National Oil Corporation (Libya) (70%);National Oil Corporation (Libya) (70%),oil and gas,field,34.013,12.468,https://www.gem.wiki/Bouri_Oil_and_Gas_Field_(Libya)
Dahra,Libya,operating,1958,,Waha Oil Company,Waha Oil Company (100%),National Oil Corporation (Libya) (59.2%);Conoco Phillips Co (nan%);Marathon Oil (nan%);Hess Corporation (nan%),oil,field,29.482,17.926,https://www.gem.wiki/Dahra_Oil_Field_(Libya)
Defa,Libya,operating,1960,,Waha Oil Company,Waha Oil Company (100%),National Oil Corporation (Libya) (59.2%);Conoco Phillips Co (nan%);Marathon Oil (nan%);Hess Corporation (nan%),oil,field,27.988,19.905,https://www.gem.wiki/Defa_Oil_Field_(Libya)
El Feel (Elephant),Libya,shut in,1997,2004,Mellitah Oil & Gas,National Oil Corporation (Libya) (62.7%);Eni S.P.A. (33.3%);Other (4%),National Oil Corporation (Libya) (62.7%);National Oil Corporation (Libya) (62.7%);Eni S.P.A. (33.3%);Other (4%),oil,field,26.072,12.195,https://www.gem.wiki/El_Feel_(Elephant)_Oil_Field_(Libya)
El Sharara,Libya,shut in,1984,1996,Akakus Oil Operations,National Oil Corporation (Libya) (50%);Repsol (20%);TotalEnergies (15%);OMV (15%),National Oil Corporation (Libya) (50%);National Oil Corporation (Libya) (50%);Repsol SA (20%);TotalEnergies (15%);OMV Aktiengesellschaft (15%),oil,field,26.394,11.936,https://www.gem.wiki/El_Sharara_Oil_Field_(Libya)
Farigh,Libya,operating,1969,,Waha Oil Company,Waha Oil Company,National Oil Corporation (Libya);Conoco Phillips Co;Marathon Oil;Hess Corporation,gas,field,28.166,21.23,https://www.gem.wiki/Farigh_Gas_Field_(Libya)
Ghani,Libya,operating,1972,,Harouge Oil Operations Company,Harouge Oil Operations Company (100%),National Oil Corporation (88%);Suncor Energy Inc. (12%),oil,field,28.97,17.463,https://www.gem.wiki/Ghani_Oil_Field_(Libya)
Gialo,Libya,operating,1961,,Waha Oil Company,Waha Oil Company (100%),National Oil Corporation (Libya) (59.2%);Conoco Phillips Co (nan%);Marathon Oil (nan%);Hess Corporation (nan%),oil,field,28.709,21.38,https://www.gem.wiki/Gialo_Oil_Field_(Libya)
I/R,Libya,operating,2006,2008,Akakus Oil Operations,Repsol (32%);OMV (24%);TotalEnergies (24%);Equinor (20%),Repsol SA (32%);OMV Aktiengesellschaft (24%);TotalEnergies (24%);Equinor ASA (20%),oil,field,28.192,18.106,https://www.gem.wiki/IR_Oil_Field_(Libya)
Instisar D,Libya,shut in,1967,1969,Zueitina Oil Company,,,oil,field,28.943,20.951,https://www.gem.wiki/Instisar_D_Oil_Field_(Libya)
Masrab,Libya,operating,1961,,Waha Oil Company,Waha Oil Company (100%),National Oil Corporation (Libya) (59.2%);Conoco Phillips Co (nan%);Marathon Oil (nan%);Hess Corporation (nan%),oil and gas,field,28.472,21.819,https://www.gem.wiki/Masrab_Oil_and_Gas_Field_(Libya)
Messla,Libya,operating,1971,,Arabian Gulf Oil Company,National Oil Corporation (Libya) (100%),National Oil Corporation (Libya) (100%);National Oil Corporation (Libya) (100%),oil,field,27.988,22.33,https://www.gem.wiki/Messla_Oil_Field_(Libya)
NC186,Libya,operating,,,,,,oil,complex,26.714,12.553,https://www.gem.wiki/NC186_Oil_Complex_(Libya)
NC186-A,Libya,operating,2000,2003,Akakus Oil Operations,Repsol (32%);OMV (24%);Equinor (20%);TotalEnergies (24%),Repsol SA (32%);OMV Aktiengesellschaft (24%);Equinor ASA (20%);TotalEnergies (24%),oil,field,26.774,12.441,https://www.gem.wiki/NC186-A_Oil_Field_(Libya)
NC186-D,Libya,operating,2001,2000,Akakus Oil Operations,Repsol (32%);OMV (24%);Equinor (20%);TotalEnergies (24%),Repsol SA (32%);OMV Aktiengesellschaft (24%);Equinor ASA (20%);TotalEnergies (24%),oil,field,26.774,12.441,https://www.gem.wiki/NC186-D_Oil_Field_(Libya)
Nakhla,Libya,shut in,1970,1994,Sirte Oil Company,Sirte Oil Company,National Oil Corporation (Libya),oil and gas,field,28.926,21.503,https://www.gem.wiki/Nakhla_Oil_and_Gas_Field_(Libya)
Raguba,Libya,operating,1961,1963,Sirte Oil Company,Sirte Oil Company (100%),National Oil Corporation (Libya) (100%),oil and gas,field,29.077,19.069,https://www.gem.wiki/Raguba_Oil_Field_(Libya)
Sarir,Libya,operating,1961,,Arabian Gulf Oil Company,National Oil Corporation (Libya) (100%),National Oil Corporation (Libya) (100%);National Oil Corporation (Libya) (100%),oil,field,27.643,22.523,https://www.gem.wiki/Sarir_Oil_Field_(Libya)
Wafa,Libya,operating,1964,2004,Mellitah Oil & Gas,Mellitah Oil & Gas (100%),Eni (15%);National Oil Corporation (Libya) (85%),oil and gas,field,28.89,10.025,https://www.gem.wiki/Wafa_Oil_and_Gas_Field_(Libya)
Waha,Libya,operating,1960,1963,Waha Oil Company,Waha Oil Company (100%),National Oil Corporation (Libya) (59.2%);Conoco Phillips Co (nan%);Marathon Oil (nan%);Hess Corporation (nan%),oil,field,28.311,19.935,https://www.gem.wiki/Waha_Oil_Field_(Libya)
Zelten,Libya,operating,1959,1961,Sirte Oil Company,Sirte Oil Company (100%),National Oil Corporation (Libya) (100%),oil,field,28.914,19.77,https://www.gem.wiki/Zelten_Oil_Field_(Libya)
B11,Malaysia,operating,1980,2003,Shell Malaysia,Shell Malaysia (50%);Petronas Carigali (50%),Shell plc (50%);Petroliam Nasional Berhad (Petronas) (50%),gas,field,4.7252,113.1,https://www.gem.wiki/B11_Gas_Field_(Malaysia)
B14,Malaysia,discovered,,,SapuraKencana Energy,,,gas,field,4.3841,109.14,https://www.gem.wiki/B14_Gas_Field_(Malaysia)
Bakong,Malaysia,operating,,2020,SapuraOMV,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),gas,field,4.779,112.94,https://www.gem.wiki/Bakong_Gas_Field_(Malaysia)
Bunga Orkid,Malaysia,operating,1991,2007,"Hibiscus Oil & Gas Malaysia Limited,",Hibiscus Petroleum Berhad (35%);PetroVietnam Exploration Production Corporation (30%);Petronas Carigali (35%),Hibiscus Petroleum Berhad (35%);Vietnam Oil and Gas Group (30%);Petroliam Nasional Berhad (Petronas) (35%),oil,field,4.3841,109.14,https://www.gem.wiki/Bunga_Orkid_Oil_Field_(Malaysia)
Damar,Malaysia,operating,1979,2014,ExxonMobil Exploration and Production Malaysia,ExxonMobil Exploration & Production Malaysia (50%);Petronas Carigali (50%),ExxonMobil (50%);Petroliam Nasional Berhad (Petronas) (50%),gas,field,6.75,103.63,https://www.gem.wiki/Damar_Gas_Field_(Malaysia)
E8,Malaysia,operating,1969,2006,Petronas Carigali,Shell Malaysia (50%);Petronas Carigali (50%),Shell plc (50%);Petroliam Nasional Berhad (Petronas) (50%),gas,field,4.0845,112.31,https://www.gem.wiki/E8_Gas_Field_(Malaysia)
F14,Malaysia,in development,,,Shell Sarawak,Sarawak Shell Berhad (50%);Petronas Carigali (50%),Shell plc (50%);Petroliam Nasional Berhad (Petronas) (50%),gas,field,4.9403,112.53,https://www.gem.wiki/F14_Gas_Field_(Malaysia)
F9,Malaysia,operating,1969,2011,Petronas Carigali,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),gas,field,4.8144,111.47,https://www.gem.wiki/F9_Gas_Field_(Malaysia)
Gansar,Malaysia,in development,,,Petronas Carigali,,,oil and gas,field,4.7469,105.05,https://www.gem.wiki/Gansar_Oil_and_Gas_Field_(Malaysia)
Gorek,Malaysia,operating,,2020,Sarawak Shell Berhad,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),gas,field,4.4524,112.82,https://www.gem.wiki/Gorek_Gas_Field_(Malaysia)
Gumusut-Kakap,Malaysia,operating,,2014,Sabah Shell,Sabah Shell (29%);ConocoPhillips Sabah (29%);Brunei Contractors (16%);Petronas (16.8%);Other (9.1%),Shell plc (29%);ConocoPhillips (29%);Brunei Contractors (nan%);Petroliam Nasional Berhad (Petronas) (16.8%);Other (9.1%),oil,field,5.8001,114.41,https://www.gem.wiki/Gumusut-Kakap_Oil_Field_(Malaysia)
Guntong,Malaysia,operating,1978,1985,ExxonMobil Exploration and Production Malaysia,ExxonMobil (78%);Petronas Carigali (22%),ExxonMobil (78%);Petroliam Nasional Berhad (Petronas) (22%),oil and gas,field,5.643,105.04,https://www.gem.wiki/Guntong_Oil_and_Gas_Field_(Malaysia)
Helang,Malaysia,operating,1990,2003,JX Nippon Oil & Energy Corporation,JX Nippon (75%);Petronas Carigali (25%),ENEOS Group (75%);Petroliam Nasional Berhad (Petronas) (25%),gas,field,4.786,113.5,https://www.gem.wiki/Helang_Gas_Field_(Malaysia)
Jerun,Malaysia,in development,,2024 (expected),SapuraOMV,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),gas,field,4.615,112.1,https://www.gem.wiki/Jerun_Gas_Field_(Malaysia)
Jintan,Malaysia,operating,1992,2004,Petronas Carigali,JX Nippon (37.5%);Shell Malaysia (37.5%);Petronas Carigali (25%),ENEOS Group (37.5%);Shell plc (37.5%);Petroliam Nasional Berhad (Petronas) (25%),oil and gas,field,5.378,111.87,https://www.gem.wiki/Jintan_Gas_Field_(Malaysia)
Kanowit,Malaysia,operating,,2011,Petronas Carigali,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),gas,field,4.3841,109.14,https://www.gem.wiki/Kanowit_Gas_Field_(Malaysia)
Kasawari,Malaysia,in development,,2023 (expected),Petronas Carigali,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),oil and gas,field,4.9803,112.98,https://www.gem.wiki/Kasawari_Oil_and_Gas_Field_(Malaysia)
Kebabangan,Malaysia,operating,1994,2014,Kebabangan Production Oil Co,Petronas Carigali (40%);ConocoPhillips (30%);Shell (30%),Petroliam Nasional Berhad (Petronas) (40%);ConocoPhillips (30%);Shell plc (30%),oil and gas,field,6.4435,115.38,https://www.gem.wiki/Kebabangan_(KBB)_Oil_and_Gas_Field_(Malaysia)
Kebabangan Phase 2,Malaysia,in development,1994,2018,Kebabangan Production Oil Co,,,oil and gas,phase,6.4435,115.38,https://www.gem.wiki/Kebabangan_(KBB)_Oil_and_Gas_Field_(Malaysia)
Kikeh,Malaysia,operating,,2007,PTTEP Sabah Oil.,PTT PLC (56%);Petronas (20%);PT Pertamina (24%),PTT PLC (56%);Petroliam Nasional Berhad (Petronas) (20%);PT Pertamina (Persero) (24%),oil,field,5.875,114.3,https://www.gem.wiki/Kikeh_Oil_Field_(Malaysia)
Kinabalu,Malaysia,operating,1989,1997,Petronas Carigali,Petronas Carigali,Petroliam Nasional Berhad (Petronas),oil and gas,field,5.378,111.87,https://www.gem.wiki/Kinabalu_Oil_Field_(Malaysia)
Kumang,Malaysia,operating,,2011,Petronas Carigali,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),gas,field,4.3841,109.14,https://www.gem.wiki/Kumang_Gas_Field_(Malaysia)
Lang Lebah,Malaysia,discovered,,2026 (expected),PTTEP HK Offshore Ltd,,,oil and gas,field,5.0832,113.03,https://www.gem.wiki/Lang_Lebah_Gas_Field_(Malaysia)
Larak,Malaysia,operating,,2019,SapuraOMV,SapuraOMV (40%);Sarawak Shell Berhad (30%);Petronas Carigali (30%),OMV Aktiengesellschaft (20%);Sapura Energy Bhd (20%);Shell plc (30%);Petroliam Nasional Berhad (Petronas) (30%),gas,field,4.779,112.94,https://www.gem.wiki/Larak_Gas_Field_(Malaysia)
Ledang,Malaysia,discovered,,,,,,gas,field,4.3841,109.14,https://www.gem.wiki/Ledang_Gas_Field_(Malaysia)
Limbayong,Malaysia,discovered,,2025 (expected),Petronas Carigali,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),gas,field,5.888,114.51,https://www.gem.wiki/Limbayong_Gas_Field_(Malaysia)
Marjoram,Malaysia,in development,,2026 (expected),Shell,Shell (85%);Petronas Carigali (15%),Shell plc (85%);Petroliam Nasional Berhad (Petronas) (15%),oil and gas,field,4.3841,109.14,https://www.gem.wiki/Marjoram_Oil_and_Gas_Field_(Malaysia)
NC3,Malaysia,operating,,2017,Petronas Carigali,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),gas,field,4.6161,113.06,https://www.gem.wiki/NC3_Gas_Field_(Malaysia)
North Malay Basin (NMB) Integrated Gas Development,Malaysia,operating,,2013,Hess Malaysia,,,oil and gas,project,4.3841,109.14,https://www.gem.wiki/North_Malay_Basin_(NMB)_Integrated_Oil_and_Gas_Development_Project_(Malaysia)
PC4,Malaysia,in development,,,Petronas Carigali,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),gas,field,4.5299,113.06,https://www.gem.wiki/PC4_Gas_Field_(Malaysia)
Rosmari,Malaysia,in development,,2026 (expected),Shell,Shell (85%);Petronas Carigali (15%),Shell plc (85%);Petroliam Nasional Berhad (Petronas) (15%),oil and gas,field,4.3841,109.14,https://www.gem.wiki/Rosmari_Oil_and_Gas_Field_(Malaysia)
Rosmari-Marjoram,Malaysia,in development,,2026 (expected),Sarawak Shell Berhad,,,gas,project,4.4813,111.55,https://www.gem.wiki/Rosmari-Marjoram_Gas_Project_(Malaysia)
Rotan,Malaysia,operating,,2021,PTTEP Sabah Oil,PTTEP Sabah Oil (56%);Pertamina (24%);Petronas Carigali (20%),PTT PLC (56%);PT Pertamina (24%);Petroliam Nasional Berhad (Petronas) (20%),gas,field,7.5389,115.88,https://www.gem.wiki/Rotan_Gas_Field_(Malaysia)
Salam,Malaysia,discovered,,2026 (expected),ConocoPhillips,,,oil and gas,field,4.7069,111.71,https://www.gem.wiki/Salam_Oil_and_Gas_Field_(Malaysia)
Sepat,Malaysia,operating,1970,2012,Petronas Carigali,Petronas Carigali (100%),Petroliam Nasional Berhad (Petronas) (100%),gas,field,4.3841,109.14,https://www.gem.wiki/Sepat_Gas_Field_(Malaysia)
Teja,Malaysia,discovered,,,SapuraKencana Energy,,,gas,field,4.3841,109.14,https://www.gem.wiki/Teja_Gas_Field_(Malaysia)
Tembakau,Malaysia,discovered,,,Lundin Petroleum,,,gas,field,4.3841,109.14,https://www.gem.wiki/Tembakau_Gas_Field_(Malaysia)
Timi,Malaysia,in development,,2023 (expected),Sarawak Shell Berhad,,,oil and gas,field,4.9524,111.64,https://www.gem.wiki/Timi_Oil_and_Gas_Field_(Malaysia)
Tukau Timur,Malaysia,in development,,2023 (expected),Petronas Carigali,,,gas,field,4.3687,113.88,https://www.gem.wiki/Tukau_Timur_Gas_Field_(Malaysia)
Tukau Timur Deep,Malaysia,operating,,,Petronas Carigali,Petronas Carigali (50%);Sarawak Shell Berhad (50%),Petroliam Nasional Berhad (Petronas) (50%);Shell plc (50%),gas,field,4.9156,113.03,https://www.gem.wiki/Tukau_Timur_Deep_Gas_Field_(Malaysia)
Banda,Mauritania,shut in,2002,,Tullow,,,gas,field,17.759,-16.586,https://www.gem.wiki/Banda_Gas_Field_(Mauritania)
BirAllah,Mauritania,discovered,2015,2028 (expected),BP Mauritania Investments,,,oil and gas,field,16.291,-16.989,https://www.gem.wiki/BirAllah_Oil_and_Gas_Field_(Mauritania)
Orca,Mauritania,discovered,2019,,BP,BP (62%);Kosmos Energy (28%);Société Mauritanienne Des Hydrocarbures et de Patrimoine Minier (10%),BP P.L.C. (62%);Kosmos Energy (28%);Société Mauritanienne Des Hydrocarbures et de Patrimoine Minier (10%),oil and gas,field,16.592,-17.171,https://www.gem.wiki/Orca_Oil_and_Gas_Field_(Mauritania)
Abkatún,Mexico,operating,1977,1980,PEMEX,,,oil and gas,field,19.249,-92.188,https://www.gem.wiki/Abkatún_Oil_and_Gas_Field_(Mexico)
Agua Fría,Mexico,operating,1969,,PEMEX,,,oil and gas,field,20.538,-97.655,https://www.gem.wiki/Agua_Fría_Oil_and_Gas_Field_(Mexico)
Akal,Mexico,operating,1976,1979,PEMEX,PEMEX,Petroleos Mexicanos,oil and gas,field,19.399,-92.053,https://www.gem.wiki/Akal_Oil_and_Gas_Field_(Mexico)
Amoca,Mexico,in development,2003,,"Eni méxico, S. de R.L. de C.V.",Eni S.P.A. (65%);Qatar Petroleum (35%),Eni S.P.A. (65%);QatarEnergy (35%),oil and gas,field,18.335,-93.873,https://www.gem.wiki/Amoca_Oil_and_Gas_Field_(Mexico)
Arcabuz,Mexico,operating,1968,,PEMEX,,,oil and gas,field,26.121,-99.082,https://www.gem.wiki/Arcabuz_Oil_and_Gas_Field_(Mexico)
Arcos,Mexico,operating,1961,,PEMEX,,,oil and gas,field,26.491,-99.177,https://www.gem.wiki/Arcos_Oil_and_Gas_Field_(Mexico)
Arenque,Mexico,operating,1966,1970,PEMEX,,,oil and gas,field,22.244,-97.525,https://www.gem.wiki/Arenque_Oil_and_Gas_Field_(Mexico)
Ayatsil,Mexico,operating,2007,2015,PEMEX,PEMEX,Petroleos Mexicanos,oil and gas,field,19.625,-92.354,https://www.gem.wiki/Ayatsil_Oil_and_Gas_Field_(Mexico)
Ayocote,Mexico,operating,2013,,PEMEX,,,oil and gas,field,17.897,-93.751,https://www.gem.wiki/Ayocote_Oil_and_Gas_Field_(Mexico)
Bacab,Mexico,in development,1977,,PEMEX,,,oil and gas,field,19.566,-92.119,https://www.gem.wiki/Bacab_Oil_and_Gas_Field_(Mexico)
Balam,Mexico,operating,1991,1993,PEMEX,PEMEX,Petroleos Mexicanos,oil and gas,field,19.485,-91.956,https://www.gem.wiki/Balam_Oil_and_Gas_Field_(Mexico)
Bedel,Mexico,operating,2012,,PEMEX,,,oil and gas,field,17.832,-95.447,https://www.gem.wiki/Bedel_Oil_and_Gas_Field_(Mexico)
Bellota,Mexico,operating,1982,,PEMEX,,,oil and gas,field,18.092,-93.32,https://www.gem.wiki/Bellota_Oil_and_Gas_Field_(Mexico)
Bolontikú,Mexico,operating,1992,,PEMEX,,,oil and gas,field,18.895,-92.574,https://www.gem.wiki/Bolontikú_Oil_and_Gas_Field_(Mexico)
Bricol,Mexico,operating,2009,,PEMEX,,,oil and gas,field,18.244,-93.34,https://www.gem.wiki/Bricol_Oil_and_Gas_Field_(Mexico)
Caan,Mexico,operating,1983,1985,PEMEX,,,oil and gas,field,19.239,-92.06,https://www.gem.wiki/Caan_Oil_and_Gas_Field_(Mexico)
Cahua,Mexico,operating,2017,2020,PEMEX,,,oil and gas,field,18.296,-94.1,https://www.gem.wiki/Cahua_Oil_and_Gas_Field_(Mexico)
Cali,Mexico,in development,2008,,PEMEX,,,oil and gas,field,26.133,-98.632,https://www.gem.wiki/Cali_Oil_and_Gas_Field_(Mexico)
Caparroso Pijije Escuintle,Mexico,operating,,,,,,oil and gas,field,18.346,-92.809,https://www.gem.wiki/Caparroso_Pijije_Escuintle_Oil_and_Gas_Field_(Mexico)
Cauchy,Mexico,operating,2008,,PEMEX,,,oil and gas,field,18.133,-95.744,https://www.gem.wiki/Cauchy_Oil_and_Gas_Field_(Mexico)
Chac,Mexico,operating,1976,,PEMEX,PEMEX,Petroleos Mexicanos,oil and gas,field,19.372,-91.962,https://www.gem.wiki/Chac_Oil_and_Gas_Field_(Mexico)
Cheek,Mexico,operating,,,,,,oil and gas,field,19.124,-92.243,https://www.gem.wiki/Cheek_Oil_and_Gas_Field_(Mexico)
Chinchorro,Mexico,operating,,,PEMEX,,,oil and gas,field,18.195,-93.394,https://www.gem.wiki/Chinchorro_Oil_and_Gas_Field_(Mexico)
Chuc,Mexico,operating,1982,1982,PEMEX,,,oil and gas,field,19.165,-92.29,https://www.gem.wiki/Chuc_Oil_and_Gas_Field_(Mexico)
Chuhuk,Mexico,operating,2003,,PEMEX,,,oil and gas,field,18.957,-92.264,https://www.gem.wiki/Chuhuk_Oil_and_Gas_Field_(Mexico)
Ché,Mexico,operating,1997,,PEMEX,,,oil and gas,field,19.001,-92.186,https://www.gem.wiki/Ché_Oil_and_Gas_Field_(Mexico)
Cibix,Mexico,operating,,,,,,oil and gas,field,18.229,-93.094,https://www.gem.wiki/Cibix_Oil_and_Gas_Field_(Mexico)
Cinco Presidentes,Mexico,operating,1960,,PEMEX,,,oil and gas,field,18.181,-94.007,https://www.gem.wiki/Cinco_Presidentes_Oil_and_Gas_Field_(Mexico)
Coapechaca,Mexico,operating,1967,1970,PEMEX,,,oil and gas,field,20.443,-97.597,https://www.gem.wiki/Coapechaca_Oil_and_Gas_Field_(Mexico)
Comitas,Mexico,operating,1960,,PEMEX,,,oil and gas,field,25.755,-98.609,https://www.gem.wiki/Comitas_Oil_and_Gas_Field_(Mexico)
Corralillo,Mexico,operating,1930,,PEMEX,,,oil and gas,field,20.536,-97.527,https://www.gem.wiki/Corralillo_Oil_and_Gas_Field_(Mexico)
Costero,Mexico,operating,1955,2004,PEMEX,,,oil and gas,field,18.632,-92.51,https://www.gem.wiki/Costero_Oil_and_Gas_Field_(Mexico)
Cuervito,Mexico,operating,1966,,PEMEX,,,oil and gas,field,25.93,-98.807,https://www.gem.wiki/Cuervito_Oil_and_Gas_Field_(Mexico)
Cuichapa-Poniente,Mexico,operating,1935,,PEMEX,,,oil and gas,field,17.942,-94.284,https://www.gem.wiki/Cuichapa-Poniente_Oil_and_Gas_Field_(Mexico)
Cuitláhuac,Mexico,operating,1951,1972,PEMEX,,,oil and gas,field,25.707,-98.47,https://www.gem.wiki/Cuitláhuac_Oil_and_Gas_Field_(Mexico)
Culebra,Mexico,operating,1956,,PEMEX,,,oil and gas,field,25.943,-99.052,https://www.gem.wiki/Culebra_Oil_and_Gas_Field_(Mexico)
Cunduacán,Mexico,operating,1974,1985,PEMEX,,,oil and gas,field,18.074,-93.105,https://www.gem.wiki/Cunduacán_Oil_and_Gas_Field_(Mexico)
Cárdenas,Mexico,operating,1955,1980,"Petrolera Cárdenas Mora, S.A.P.I. de C.V",,,oil and gas,field,18.014,-93.453,https://www.gem.wiki/Cárdenas_Oil_and_Gas_Field_(Mexico)
Edén Jolote,Mexico,operating,,,,,,oil and gas,field,22.436,-104.6,https://www.gem.wiki/Edén_Jolote_Oil_and_Gas_Field_(Mexico)
Ek,Mexico,operating,1977,1991,PEMEX,PEMEX,Petroleos Mexicanos,oil and gas,field,19.506,-91.998,https://www.gem.wiki/Ek_Oil_and_Gas_Field_(Mexico)
Eltreinta,Mexico,operating,2013,2013,PEMEX,,,oil and gas,field,17.832,-95.493,https://www.gem.wiki/Eltreinta_Oil_and_Gas_Field_(Mexico)
Etkal,Mexico,operating,2003,,PEMEX,,,oil and gas,field,19.056,-92.147,https://www.gem.wiki/Etkal_Oil_and_Gas_Field_(Mexico)
Fundador,Mexico,operating,2002,,PEMEX,,,oil and gas,field,25.896,-98.515,https://www.gem.wiki/Fundador_Oil_and_Gas_Field_(Mexico)
Gasífero,Mexico,operating,2011,2012,PEMEX,,,oil and gas,field,17.78,-95.341,https://www.gem.wiki/Gasífero_Oil_and_Gas_Field_(Mexico)
Giraldas,Mexico,operating,1978,,PEMEX,,,oil and gas,field,17.666,-93.386,https://www.gem.wiki/Giraldas_Oil_and_Gas_Field_(Mexico)
