project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Abang,Nigeria,operating,2002.0,,Mobil,ExxonMobil;Nigerian National Petroleum Corporation,ExxonMobil Corporation;Nigerian National Petroleum Corporation,oil,field,4.229,7.642,https://www.gem.wiki/Abang_Oil_Field_(Nigeria)
Abiteye,Nigeria,operating,1970.0,,Chevron Nigeria Ltd,,,oil and gas,field,5.663,5.296,https://www.gem.wiki/Abiteye_Oil_and_Gas_Field_(Nigeria)
Abo,Nigeria,operating,,2003,Nigerian Agip Exploration,Eni S.P.A. (85%);Oando Energy Resources (15%),Eni S.P.A. (85%);Oando Energy Resources (15%),oil and gas,field,5.761,4.466,https://www.gem.wiki/Abo_Oil_and_Gas_Field_(Nigeria)
Adanga,Nigeria,operating,1980.0,,Addax,,,oil and gas,field,4.308,8.339,https://www.gem.wiki/Adanga_Oil_and_Gas_Field_(Nigeria)
Adanga South,Nigeria,operating,,,Addax,,,oil and gas,field,4.8765,7.2907,https://www.gem.wiki/Adanga_South_Oil_and_Gas_Field_(Nigeria)
Adua,Nigeria,operating,1967.0,,Mobil,,,oil and gas,field,4.1078,7.6988,https://www.gem.wiki/Adua_Oil_and_Gas_Field_(Nigeria)
Afam,Nigeria,operating,,,Nigerian National Petroleum Corporation,,,oil,field,4.801,7.321,https://www.gem.wiki/Afam_Oil_Field_(Nigeria)
Afiesere/Eriemu,Nigeria,operating,1961.0,1964,Nigerian Petroleum Development Company,Nigerian Petroleum Development Company (55%);Shoreline Natural Resources Limited (45%),Nigerian National Petroleum Corporation (55%);Shoreline Power Company Limited (nan%);Heritage Oil Limited (nan%),oil,field,5.5453,6.0273,https://www.gem.wiki/AfiesereEriemu_Oil_Field_(Nigeria)
Agbada,Nigeria,operating,1960.0,,TNOG Oil and Gas Limited,TNOG Oil and Gas Limited (45%);Nigerian National Petroleum Corporation (55%),Nigerian National Petroleum Corporation (55%),oil and gas,field,4.937,6.975,https://www.gem.wiki/Agbada_Oil_and_Gas_Field_(Nigeria)
Agbami,Nigeria,operating,1998.0,2008,Chevron,Chevron (67.3%);Equinor (20.2%);Petrobras (12.5%),Chevron Corporation (67.3%);Equinor ASA (20.2%);Petrobras (12.5%);Petróleo Brasileiro S.A. (12.5%),oil and gas,field,3.429,5.55,https://www.gem.wiki/Agbami_Oil_and_Gas_Field_(Nigeria)
Agbara,Nigeria,operating,1981.0,,Agip Energy and Natural Resources,,,oil and gas,field,3.928,6.386,https://www.gem.wiki/Agbara_Oil_and_Gas_Field_(Nigeria)
Akaso,Nigeria,operating,,,Eroton,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),oil and gas,field,4.5357,7.0103,https://www.gem.wiki/Akaso_Oil_and_Gas_Field_(Nigeria)
Akpo,Nigeria,operating,2000.0,2009,TotalEnergies Upstream Nigeria Limited,TotalEnergies Upstream Nigeria Limited (24%);Nigerian National Petroleum Corporation (10%);South Atlantic Petroleum (SAPETRO) (5%);CNOOC Limited (45%);Petrobras (16%),TotalEnergies (24%);Nigerian National Petroleum Corporation (10%);South Atlantic Petroleum (5%);CNOOC Limited (45%);Petrobras (16%);Petróleo Brasileiro S.A. (16%),oil and gas,field,3.087,6.811,https://www.gem.wiki/Akpo_Oil_and_Gas_Field_(Nigeria)
Amenam-Kpono,Nigeria,operating,1990.0,2003,TotalEnergies E&P,Nigerian National Petroleum Corporation (60%);TotalEnergies E&P Nigeria Limited (40%),Nigerian National Petroleum Corporation (60%);TotalEnergies (40%),oil and gas,field,4.0855,7.3064,https://www.gem.wiki/Amenam-Kpono_Oil_and_Gas_Field_(Nigeria)
Amoji/Matsogo/Igbolo,Nigeria,operating,,,Swift Oil Limited,Swift Oil Limited (60%),Swift Oil Limited (60%),oil and gas,project,8.6806,7.5529,https://www.gem.wiki/Amoji/Matsogo/Igbolo_Oil_and_Gas_Project_(Nigeria)
Anieze,Nigeria,operating,,,Sterling Exploration and Energy Production Limited,Sterling Exploration and Energy Production Limited (80%);Allene Energy (20%),Sterling Exploration and Energy Production Limited (80%);Allene Energy (20%),oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Anieze_Oil_and_Gas_Field_(Nigeria)
Anyala-Madu,Nigeria,operating,1972.0,2020,FIRST Exploration & Production,FIRST Exploration & Production (40%);Nigerian National Petroleum Corporation (60%),FIRST Exploration and Petroleum Development Company Ltd. (40%);Nigerian National Petroleum Corporation (60%),oil and gas,field,4.0105,5.836,https://www.gem.wiki/Anyala-Madu_Oil_and_Gas_Field_(Nigeria)
Anz,Nigeria,operating,,,Sterling Exploration and Energy Production Company,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Anz_Oil_and_Gas_Field_(Nigeria)
Asabo,Nigeria,operating,1966.0,,Mobil,,,oil and gas,field,4.096,7.772,https://www.gem.wiki/Asabo_Oil_and_Gas_Field_(Nigeria)
Asasa,Nigeria,operating,1966.0,1996,Mobil,ExxonMobil (40%);Nigerian National Petroleum Corporation (60%),ExxonMobil Corporation (40%);Nigerian National Petroleum Corporation (60%),oil,field,4.073,7.981,https://www.gem.wiki/Asasa_Oil_Field_(Nigeria)
Ashaka,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,4.0987,8.0072,https://www.gem.wiki/Ashaka_Oil_and_Gas_Field_(Nigeria)
Assa North-Ohaji South,Nigeria,in development,1992.0,2021 (expected),"Shell Petroleum Development Company of Nigeria (Assa North), Seplat (Ohaji South)",Nigerian Petroleum Development Company (57.5%);Seplat Petroleum (20%);Shell Petroleum Development Company of Nigeria (15%);Eni S.P.A. (2.5%);TotalEnergies (5%),Nigerian National Petroleum Corporation (57.5%);Seplat Petroleum (20%);Nigerian National Petroleum Corporationand Nigerian Agip Oil Company limited (NAOC) 5% (8.2%);Shell plc (4.5%);TotalEnergies (1.5%);Eni (0.8%);Eni S.P.A. (2.5%);TotalEnergies (5%),oil and gas,project,6.8501,5.438,https://www.gem.wiki/Assa_North-Ohaji_South_Oil_and_Gas_Project_(Nigeria)
Awawa,Nigeria,operating,2010.0,,Mobil,ExxonMobil;Nigerian National Petroleum Corporation,ExxonMobil Corporation;Nigerian National Petroleum Corporation,oil and gas,field,3.9184,7.4534,https://www.gem.wiki/Awawa_Oil_and_Gas_Field_(Nigeria)
Awawa/Yoho,Nigeria,operating,,,,,,oil,project,3.894,7.463,https://www.gem.wiki/AwawaYoho_Oil_Project_(Nigeria)
Awoba (Eroton),Nigeria,operating,,,Eroton,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),oil and gas,field,4.536,6.811,https://www.gem.wiki/Awoba_(Eroton)_Oil_and_Gas_Field_(Nigeria)
Awoba/Ekulama 1 & 2 (Newcross),Nigeria,operating,1958.0,1972,Newcross,Newcross (45%);Nigerian National Petroleum Corporation (55%),Newcross Petroleum Limited (45%);Nigerian National Petroleum Corporation (55%),oil and gas,project,4.536,6.811,https://www.gem.wiki/AwobaEkulama_1_&_2_(Newcross)_Oil_and_Gas_Project_(Nigeria)
Azuzuama,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,4.727,5.904,https://www.gem.wiki/Azuzuama_Oil_and_Gas_Field_(Nigeria)
Barracuda,Nigeria,in development,2020.0,2023,Emerald Energy Resources,,,oil,field,4.2402,6.1994,https://www.gem.wiki/Barracuda_Oil_Field_(Nigeria)
Batan (NPDC),Nigeria,operating,,,Nigerian Petroleum Development Company,,,oil and gas,field,5.5736,5.4804,https://www.gem.wiki/Batan_(NPDC)_Oil_and_Gas_Field_(Nigeria)
Batan (Naconde),Nigeria,operating,,,Naconde,,,oil and gas,field,5.5736,5.4804,https://www.gem.wiki/Batan_(Naconde)_Oil_and_Gas_Field_(Nigeria)
Belema,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,,,oil and gas,field,4.4,6.616,https://www.gem.wiki/Belema_Oil_and_Gas_Field_(Nigeria)
Benin River,Nigeria,operating,1990.0,,Chevron,,,oil and gas,field,5.8731,5.1888,https://www.gem.wiki/Benin_River_Oil_and_Gas_Field_(Nigeria)
Benisede,Nigeria,operating,,1976,Shell Petroleum Development Company of Nigeria,Shell (30%);Nigerian National Petroleum Corporation (55%);TotalEnergies (10%);Eni S.P.A. (5%),Shell plc (30%);Nigerian National Petroleum Corporation (55%);TotalEnergies (10%);Eni S.P.A. (5%),oil and gas,field,5.027,5.665,https://www.gem.wiki/Benisede_Oil_and_Gas_Field_(Nigeria)
Bonga,Nigeria,operating,1993.0,2005,Shell Nigeria Exploration and Production Company,Shell (55%);Esso (20%);TotalEnergies (12.5%);Agip (12.5%),Shell plc (55%);ExxonMobil Corporation (20%);TotalEnergies (12.5%);Eni S.P.A. (12.5%),oil and gas,field,4.498,4.668,https://www.gem.wiki/Bonga_Oil_and_Gas_Field_(Nigeria)
Bonga Southwest Aparo,Nigeria,in development,,2026 (expected),Shell Nigeria Exploration and Production Company,Shell Petroleum Development Company of Nigeria (55%);Esso (20%);TotalEnergies (12.5%);Agip (12.5%),Nigerian National Petroleum Corporationand Nigerian Agip Oil Company limited (NAOC) 5% (30.3%);Shell plc (16.5%);TotalEnergies (5.5%);Eni (2.8%);ExxonMobil Corporation (20%);TotalEnergies (12.5%);Eni S.P.A. (12.5%),oil and gas,field,4.4634,4.5306,https://www.gem.wiki/Bonga_Southwest_Aparo_Oil_and_Gas_Field_(Nigeria)
Bonny,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,Nigerian National Petroleum Corporation (55%);Royal Dutch Shell (30%);TotalEnergies (10%);Agip (5%),Nigerian National Petroleum Corporation (55%);Shell plc (nan%);TotalEnergies (10%);Eni S.P.A. (5%),oil,field,4.4649,7.1809,https://www.gem.wiki/Bonny_Oil_Field_(Nigeria)
Buguma Creek,Nigeria,in development,,,Eroton,Eroton Exploration & Production Company (45%);Sahara Field Production Limited (16.2%);San Leon Energy PLC (9.7%);other (29.1%),Eroton Exploration & Production Company (45%);Asharami Energy (16.2%);San Leon Energy PLC (9.7%),oil and gas,field,4.753,6.9047,https://www.gem.wiki/Buguma_Creek_Oil_and_Gas_Field_(Nigeria)
Cawthorne Channel,Nigeria,operating,,,Eroton,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),oil and gas,field,4.5514,7.0457,https://www.gem.wiki/Cawthorne_Channel_Oil_and_Gas_Field_(Nigeria)
Clough Creek,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,4.8633,5.6844,https://www.gem.wiki/Clough_Creek_Oil_and_Gas_Field_(Nigeria)
Continental,Nigeria,operating,,,Continental,,,oil,field,8.6806,7.5529,https://www.gem.wiki/Continental_Oil_Field_(Nigeria)
Delta,Nigeria,operating,1965.0,,Chevron,Chevron (40%),Chevron Corporation (40%),oil and gas,field,5.65,5.167,https://www.gem.wiki/Delta_Oil_and_Gas_Field_(Nigeria)
Delta South,Nigeria,operating,1965.0,,Chevron,,,oil and gas,field,5.6088,5.1354,https://www.gem.wiki/Delta_South_Oil_and_Gas_Field_(Nigeria)
Dibi,Nigeria,operating,1995.0,1998,Chevron,Chevron (40%);Nigerian National Petroleum Corporation (60%),Chevron Corporation (40%);Nigerian National Petroleum Corporation (60%),oil and gas,field,5.8214,5.2113,https://www.gem.wiki/Dibi_Oil_and_Gas_Field_(Nigeria)
Ea,Nigeria,operating,1965.0,2002,Shell Petroleum Development Company of Nigeria,Nigerian National Petroleum Corporation (55%);Shell (30%);TotalEnergies E&P Nigeria Limited (10%);Eni S.P.A. (5%),Nigerian National Petroleum Corporation (55%);Shell plc (30%);TotalEnergies (10%);Eni S.P.A. (5%),oil and gas,field,4.813,5.349,https://www.gem.wiki/Ea_Oil_and_Gas_Field_(Nigeria)
Ebendo/Obodeti,Nigeria,operating,,,Energia,,,oil and gas,project,8.6806,7.5529,https://www.gem.wiki/Ebendo_Obodeti_Oil_and_Gas_Project_(Nigeria)
Ebocha,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Ebocha_Oil_and_Gas_Field_(Nigeria)
Ebok,Nigeria,operating,1968.0,2011,Oriental Energy,Oriental Energy Resources Limited (100%),Oriental Energy Resources Limited (100%),oil and gas,field,4.099,8.153,https://www.gem.wiki/Ebok_Oil_and_Gas_Field_(Nigeria)
Ebughu,Nigeria,operating,1983.0,,Addax,,,oil and gas,field,4.282,8.3517,https://www.gem.wiki/Ebughu_Oil_and_Gas_Field_(Nigeria)
Edikan,Nigeria,operating,,,TotalEnergies E&P,Nigerian National Petroleum Corporation (60%);TotalEnergies (40%),Nigerian National Petroleum Corporation (60%);TotalEnergies (40%),oil and gas,field,4.0365,7.693,https://www.gem.wiki/Edikan_Oil_and_Gas_Field_(Nigeria)
Edop,Nigeria,operating,1981.0,,Mobil,ExxonMobil (40%);Nigerian National Petroleum Corporation (60%),ExxonMobil Corporation (40%);Nigerian National Petroleum Corporation (60%),oil and gas,field,4.1496,7.9749,https://www.gem.wiki/Edop_Oil_and_Gas_Field_(Nigeria)
Egbaoma,Nigeria,operating,,,Platform,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Egbaoma_Oil_and_Gas_Field_(Nigeria)
Egina,Nigeria,operating,2003.0,2018,TotalEnergies Upstream Nigeria Limited,TotalEnergies Upstream Nigeria Limited (24%);Nigerian National Petroleum Corporation;South Atlantic Petroleum (SAPETRO) (15%);CNOOC E&P Nigeria Limited (45%);Petrobras (16%),TotalEnergies (24%);Nigerian National Petroleum Corporation (24%);South Atlantic Petroleum (15%);CNOOC Limited (45%);Petrobras (16%);Petróleo Brasileiro S.A. (16%),oil,field,2.979,6.71,https://www.gem.wiki/Egina_Oil_Field_(Nigeria)
Egwa,Nigeria,operating,,1969,Shell Petroleum Development Company of Nigeria,Neconde Energy Limited (45%);Kulczyk Oil Ventures (9%);other (46%),Neconde Energy Limited (45%);Serinus Energy PLC (9%),oil and gas,field,5.622,5.437,https://www.gem.wiki/Egwa_Oil_and_Gas_Field_(Nigeria)
Ekedei,Nigeria,in development,,,Nigerian Agip Oil Company,,,oil and gas,field,6.239,4.9687,https://www.gem.wiki/Ekedei_Oil_and_Gas_Field_(Nigeria)
Ekpe,Nigeria,operating,,,Mobil,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Ekpe_Oil_and_Gas_Field_(Nigeria)
Eku,Nigeria,operating,,,Mobil,,,oil and gas,field,4.251,8.052,https://www.gem.wiki/Eku_Oil_and_Gas_Field_(Nigeria)
Enang,Nigeria,operating,1968.0,,Mobil,,,oil and gas,field,4.193,7.892,https://www.gem.wiki/Enang_Oil_and_Gas_Field_(Nigeria)
Enang West,Nigeria,operating,2001.0,,Mobil,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Enang_West_Oil_and_Gas_Field_(Nigeria)
Erha/Erha North,Nigeria,operating,1999.0,2006,Esso,ExxonMobil (56.2%);Shell Nigeria Exploration & Production Co. Ltd. (43.8%),ExxonMobil Corporation (56.2%);Shell plc (43.8%),oil and gas,field,5.372,4.343,https://www.gem.wiki/ErhaErha_North_Oil_and_Gas_Field_(Nigeria)
Etelebou,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,Shell Petroleum Development Company of Nigeria (30%);Nigerian National Petroleum Corporation (55%);TotalEnergies E&P Nigeria Limited (10%);Nigerian Agip Oil Company (5%),Nigerian National Petroleum Corporationand Nigerian Agip Oil Company limited (NAOC) 5% (16.5%);Shell plc (9%);TotalEnergies (3%);Eni (1.5%);Nigerian National Petroleum Corporation (55%);TotalEnergies (10%);Eni (5%),oil and gas,field,5.025,6.347,https://www.gem.wiki/Etelebou_Oil_and_Gas_Field_(Nigeria)
Etim/Etimc,Nigeria,operating,1968.0,1972,Mobil,ExxonMobil (40%);Nigerian National Petroleum Corporation (60%),ExxonMobil Corporation (40%);Nigerian National Petroleum Corporation (60%),gas,field,4.106,8.011,https://www.gem.wiki/Etim_Etimc_Gas_Field_(Nigeria)
Evwreni,Nigeria,operating,1967.0,1969,,Shoreline Natural Resources Limited (45%);Nigerian Petroleum Development Company (55%),Shoreline Power Company Limited (nan%);Heritage Oil Limited (nan%);Nigerian National Petroleum Corporation (55%),oil,field,5.3835,6.0363,https://www.gem.wiki/Evwreni_Oil_Field_(Nigeria)
Ewan,Nigeria,operating,,,Chevron,Chevron (40%),Chevron Corporation (40%),oil and gas,field,5.884,4.942,https://www.gem.wiki/Ewan_Oil_and_Gas_Field_(Nigeria)
Forcados Yokri,Nigeria,operating,1968.0,1971,Shell Petroleum Development Company of Nigeria,Shell (30%);Nigerian National Petroleum Corporation (70%),Shell plc (30%);Nigerian National Petroleum Corporation (70%),oil and gas,field,5.3786,5.3265,https://www.gem.wiki/Forcados_Yokri_Oil_and_Gas_Field_(Nigeria)
