project,country,status,discovery_year,start_year,operator,owner,parent,fuel_type,unit_type,lat,lng,url
Koroama,Nigeria,operating,,,Shell Petroleum Development Company of Nigeria,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Koroama_Oil_and_Gas_Field_(Nigeria)
Kwale,Nigeria,operating,1967.0,1967,Nigerian Agip Oil Company,Oando Energy Resources (20%);other (80%),Oando Energy Resources (20%),oil and gas,field,5.66,6.508,https://www.gem.wiki/Kwale_Oil_and_Gas_Field_(Nigeria)
Makaraba,Nigeria,operating,1973.0,,Chevron Nigeria Ltd,,,oil and gas,field,5.807,5.431,https://www.gem.wiki/Makaraba_Oil_and_Gas_Field_(Nigeria)
Malu,Nigeria,operating,1969.0,,Chevron,Chevron (40%),Chevron Corporation (40%),oil and gas,field,5.849,4.721,https://www.gem.wiki/Malu_Oil_and_Gas_Field_(Nigeria)
Manuso,Nigeria,operating,,,Nigerian Agip Oil Company,,,oil and gas,field,6.5035,5.0103,https://www.gem.wiki/Manuso_Oil_and_Gas_Field_(Nigeria)
Mbede,Nigeria,operating,,1972,Nigerian Agip Oil Company,Nigerian Agip Oil Company (20%);Oando Energy Resources (20%);Nigerian National Petroleum Corporation (60%),Eni (20%);Oando Energy Resources (20%);Nigerian National Petroleum Corporation (60%),oil and gas,field,6.748,5.485,https://www.gem.wiki/Mbede_Oil_and_Gas_Field_(Nigeria)
Mefa,Nigeria,operating,,,Chevron,,,oil and gas,field,8.6806,7.5529,https://www.gem.wiki/Mefa_Oil_and_Gas_Field_(Nigeria)
Meji,Nigeria,operating,1964.0,,Chevron,Chevron (40%);Nigerian National Petroleum Corporation (60%),Chevron Corporation (40%);Nigerian National Petroleum Corporation (60%),oil,field,5.45,5.139,https://www.gem.wiki/Meji_Oil_Field_(Nigeria)
Mejo,Nigeria,operating,,,Chevron,,,oil and gas,field,5.855,4.985,https://www.gem.wiki/Mejo_Oil_and_Gas_Field_(Nigeria)
Meren,Nigeria,operating,1965.0,1968,Chevron,Chevron (40%);Nigerian National Petroleum Corporation (60%),Chevron Corporation (40%);Nigerian National Petroleum Corporation (60%),oil,field,5.7876,4.8871,https://www.gem.wiki/Meren_Oil_Field_(Nigeria)
