project,unit,type,parent,countries,status,start_year,capacity,capacity_units,geom,lat,lng,route,url
Obiafu-Obrikom-Oben Gas Pipeline,,gas_pipelines,Nigerian National Petroleum Corporation [100.00%],Nigeria,construction,2022.0,20.69,Bcm/y,line,,,"5.3913816,6.6565269:5.99369,5.8995",https://www.gem.wiki/Obiafu-Obrikom-Oben_Gas_Pipeline
Obiafu-Rumuji Gas Pipeline,,gas_pipelines,Eni S.p.A. [100.00%],Nigeria,operating,,5.17,Bcm/y,line,,,"5.391229358840709,6.656781827090473:4.941401199496428,6.779379871421665",https://www.gem.wiki/Obiafu-Rumuji_gas_pipeline
Obiafu-Ubeta Gas Pipeline,,gas_pipelines,Nigerian National Petroleum Corporation [49.00%]; Shell [25.60%]; TotalEnergies Gaz & Electricité​ Holdings [15.00%]; Eni International NA NV SARL [unknown %],Nigeria,operating,,4.55,Bcm/y,line,,,"5.391229358840709,6.656771098254168:5.08320898475473,6.657961697139246",https://www.gem.wiki/Obiafu-Ubeta_gas_pipeline
Qua Iboe Terminal to Obiafu-Obrikom Gas Pipeline,,gas_pipelines,Nigerian National Petroleum Corporation [100.00%],Nigeria,cancelled,,,Bcm/y,line,,,"4.547,8.012:5.3913816,6.6565269",https://www.gem.wiki/Qua_Iboe_Terminal_to_Obiafu-Obrikom_Gas_Pipeline
Rumuji Node-Bonny Gas Pipeline,,gas_pipelines,Nigerian National Petroleum Corporation [49.00%]; Shell [25.60%]; TotalEnergies Gaz & Electricité​ Holdings [15.00%]; Eni International NA NV SARL [unknown %],Nigeria,operating,,12.91,Bcm/y,line,,,"4.939819231506705,6.77899363331469:4.413504828059465,7.190551252570926",https://www.gem.wiki/Rumuji_Node-Bonny_gas_pipeline
Rumuji-Bonny Gas Pipeline,,gas_pipelines,Eni S.p.A. [100.00%],Nigeria,operating,,7.23,Bcm/y,line,,,"4.939819231506705,6.77899363331469:4.413504828059465,7.190551252570926",https://www.gem.wiki/Rumuji-Bonny_gas_pipeline
Soku-Bonny Gas Pipeline,,gas_pipelines,Shell [100.00%],Nigeria,operating,,14.47,Bcm/y,line,,,"4.654036,6.597662:4.611014,6.621641:4.577551,6.679192:4.51062,6.847047:4.438901,7.043678:4.407821,7.173167",https://www.gem.wiki/Soku-Bonny_gas_pipeline
Soku-Rumuji Gas Pipeline,,gas_pipelines,Nigerian National Petroleum Corporation [49.00%]; Shell [25.60%]; TotalEnergies Gaz & Electricité​ Holdings [15.00%]; Eni International NA NV SARL [unknown %],Nigeria,operating,,6.2,Bcm/y,line,,,"4.678397767333637,6.68242962286816:4.942555606186712,6.779594448147763",https://www.gem.wiki/Soku-Rumuji_gas_pipeline
Trans Nigeria Gas Pipeline,Phase 1: Ajaokuta–Kaduna–Kano Pipeline (AKK Pipeline),gas_pipelines,Nigerian National Petroleum Corporation [100.00%],Nigeria,construction,2023.0,36.2,Bcm/y,line,,,"9.085473,7.401924:10.507018,7.421744:11.989088,8.534712",https://www.gem.wiki/Trans_Nigeria_Gas_Pipeline
Trans Nigeria Gas Pipeline,Phase 2 (Qua lboe Terminal–Cawthorne Channel) and Phase 3 (Oyigbo–Ajaokuta),gas_pipelines,Nigerian National Petroleum Corporation [100.00%],Nigeria,proposed,,3.5,Bcm/y,line,,,"4.548843,8.009291:4.886498,7.125106;4.886498,7.125106:5.52455,7.491902:6.456281,7.54568:7.537941,6.641063:9.085473,7.401924",https://www.gem.wiki/Trans_Nigeria_Gas_Pipeline
Trans-Sahara Gas Pipeline,,gas_pipelines,"Niger Ministry of Petroleum, Energy and Renewable Energies [unknown %]; Nigerian National Petroleum Corporation [unknown %]; Sonatrach [unknown %]","Nigeria, Niger, Algeria",proposed,,30.0,Bcm/y,line,,,"5.752842677,5.265122071:6.548861573,5.142192634:7.099730869,5.857306812:8.869883232,6.743345375:11.64515672,6.718437817:18.4977969,7.488302512:22.79641022,5.036004353:26.64245287,4.646636238",https://www.gem.wiki/Trans-Sahara_Gas_Pipeline
Ukanafun-Calabar Gas Pipeline,,gas_pipelines,Nigerian National Petroleum Corporation [100.00%],Nigeria,operating,2017.0,1.24,Bcm/y,line,,,"4.927,7.608:5.018,8.318",https://www.gem.wiki/Ukanafun-Calabar_Gas_Pipeline
Uquo to Oron Pipeline,,gas_pipelines,Savannah Energy [100.00%],Nigeria,operating,,,Bcm/y,line,,,"4.661632284425573,8.061658008280281:4.807390498402452,8.236527337827658",https://www.gem.wiki/Uquo_to_Oron_Gas_Pipeline
West African Gas Pipeline,,gas_pipelines,Chevron [36.70%]; Nigerian National Petroleum Corporation [25.00%]; Shell [18.00%]; Takoradi Power [16.30%]; Societe BenGaz [2.00%]; Société Togolaise de Gaz [2.00%],"Nigeria, Ghana, Togo, Benin",operating,2006.0,2.07,Bcm/y,line,,,"6.717337,3.281849:6.455027,3.384082:5.397266,3.750292:5.2753,3.750292:5.193976,3.655017:5.099084,3.423634:4.99062,3.096975:4.963501,2.892813:4.90926,2.566155:4.855014,2.280329:4.814327,2.035335:4.787201,1.831173:4.758622,1.633316:4.719381,1.436461:4.624423,1.041748:4.543019,0.647036:4.476409,0.249911:4.434467,0.007329:4.366614,-0.400994:4.298754,-0.714042:4.135867,-1.449023:4.132529,-1.509054:4.155311,-1.567791:4.191111,-1.613475:4.249689,-1.646107:4.31477,-1.665686:4.916667,-1.766667;4.963501,2.892813:6.366667,2.433333;4.758622,1.633316:6.131944,1.222778;4.476409,0.249911:5.666667,0",https://www.gem.wiki/West_African_Gas_Pipeline
