country,year,flare_intensity_m3_per_bbl
Albania,2012,0.07933977919583567
Algeria,2012,17.691641698343414
Angola,2012,5.564467711352842
Argentina,2012,1.3569021968179573
Australia,2012,6.784947532722747
Austria,2012,0.0
Azerbaijan,2012,1.016774595146813
Bahrain,2012,0.40489779219843314
Bangladesh,2012,0.8395586189164802
Belarus,2012,0.08167519482810046
Belize,2012,0.636536624316861
Bolivia,2012,1.8919020972401854
Brazil,2012,1.3936144073275347
Brunei,2012,3.9199120491840977
Cambodia,2012,0.0
Cameroon,2012,20.60395213232986
Canada,2012,0.36536278094818464
Chad,2012,2.353504225541838
Chile,2012,5.237410523874665
China,2012,0.5508491665944527
Colombia,2012,1.3623305995123318
"Congo, Rep.",2012,9.815251376916407
Croatia,2012,0.535338882762654
Cuba,2012,1.106015226824976
Dem Rep of the Congo,2012,25.117860023053115
Denmark,2012,0.6418503311127056
Ecuador,2012,1.4835470902827421
Egypt,2012,7.437788756387689
Equatorial Guinea,2012,5.792172220300949
Eritrea,2012,0.0
Ethiopia,2012,0.0
France,2012,0.9807027177948471
Gabon,2012,10.715258265573857
Georgia,2012,0.7730214473794521
Germany,2012,0.005684501545934477
Ghana,2012,0.46837626080993056
Greece,2012,3.722941873752186
Guatemala,2012,0.6288614253078468
Guyana,2012,0.0
Hungary,2012,0.5494058048681911
India,2012,4.983485055711009
Indonesia,2012,7.216161042517844
Iran,2012,11.205590744145574
Iraq,2012,19.324995172068277
Israel,2012,3.4057676704565853
Italy,2012,0.02818898484650621
Ivory Coast,2012,5.530235185182517
Japan,2012,0.07548709275780821
Jordan,2012,3.77999460919467
Kazakhstan,2012,9.97826587508815
Kuwait,2012,1.0959645052651252
Kyrgyzstan,2012,0.0
Libya,2012,13.098502758860118
Malaysia,2012,10.147750684800027
Mauritania,2012,15.480648177803658
Mexico,2012,4.601816029257864
Mongolia,2012,0.45430276341852577
Morocco,2012,0.0
Mozambique,2012,0.0
Myanmar,2012,7.6326011758338765
