cell_id,grid_lat,grid_lon,settlement_count,named_settlement_count,population_estimate,population_with_nightlight_signal,population_without_nightlight_signal,nightlight_population_share_pct,total_buildings,reported_connections,modeled_demand,population_weighted_distance_transmission_km,population_weighted_distance_gridlight_km
nga_8.375_2.875,8.375,2.875,19.0,19.0,12431.0,0.0,12431.0,0.0,2715.0,2715.0,925.1000000000001,27.42943850052289,8.300984393854074
nga_8.375_3.125,8.375,3.125,55.0,55.0,17352.0,5012.0,12340.0,28.88427846934071,3915.0,3915.0,1331.6,15.880372291378517,9.333366413093593
nga_8.375_3.375,8.375,3.375,119.0,119.0,46877.0,0.0,46877.0,0.0,10805.0,10805.0,4446.299999999998,3.7287563197303584,13.84291959809715
nga_8.375_3.625,8.375,3.625,52.0,52.0,11804.0,0.0,11804.0,0.0,2776.0,2776.0,960.0999999999999,13.429087597424598,14.846594628939343
nga_8.375_4.125,8.375,4.125,97.0,97.0,42313.0,13246.0,29067.0,31.304799943279843,9706.0,9706.0,4569.3,5.496769787063077,5.660765556684707
nga_8.375_4.375,8.375,4.375,189.0,189.0,146247.0,105357.0,40890.0,72.04045211183819,33244.0,33244.0,17866.1,0.43378790676048057,1.1248997039255506
nga_8.375_4.625,8.375,4.625,153.0,153.0,1811207.0,1771038.0,40169.0,97.78219717569554,380722.0,380722.0,234337.1,0.028474983809139428,0.05627930821822134
nga_8.375_4.875,8.375,4.875,124.0,124.0,51463.0,19280.0,32183.0,37.46380895011951,11594.0,11594.0,6345.000000000001,1.0343852865165264,3.2056828400987114
nga_8.375_5.125,8.375,5.125,58.0,58.0,44347.0,16798.0,27549.0,37.87854871806436,10167.0,10167.0,5496.799999999999,1.2070379056080456,5.535043001781406
nga_8.375_5.375,8.375,5.375,23.0,23.0,9326.0,0.0,9326.0,0.0,2192.0,2192.0,865.8000000000001,2.262243191078704,15.657810208020585
nga_8.375_5.625,8.375,5.625,16.0,16.0,38914.0,32819.0,6095.0,84.33725651436501,8368.0,8368.0,4292.5,0.439725805622655,1.0055426838669888
nga_8.375_5.875,8.375,5.875,24.0,24.0,54157.0,48209.0,5948.0,89.0171169008623,11273.0,11273.0,5822.400000000001,0.6736887198330779,1.0757259080081982
nga_8.375_6.125,8.375,6.125,23.0,23.0,5621.0,0.0,5621.0,0.0,1322.0,1322.0,467.3,16.344700231275574,22.899641700764985
nga_8.375_6.375,8.375,6.375,31.0,31.0,14302.0,0.0,14302.0,0.0,3363.0,3363.0,1365.9,9.913845615997763,19.79060369179136
nga_8.375_6.625,8.375,6.625,93.0,93.0,44707.0,15844.0,28863.0,35.43964032478135,10371.0,10371.0,4618.100000000001,1.868347686044691,5.210987518733084
nga_8.375_6.875,8.375,6.875,60.0,60.0,77466.0,58876.0,18590.0,76.00237523558722,16828.0,16828.0,8500.9,0.6328378901711719,1.021168241551132
nga_8.375_7.125,8.375,7.125,59.0,59.0,61970.0,27013.0,34957.0,43.590446990479265,13658.0,13658.0,6187.3,0.9406779086654833,3.433294513474262
nga_8.375_7.375,8.375,7.375,76.0,76.0,78257.0,37207.0,41050.0,47.544628595525,17099.0,17099.0,6885.3,2.489027435245409,3.4364129343061958
nga_8.375_7.625,8.375,7.625,28.0,28.0,15218.0,0.0,15218.0,0.0,3578.0,3578.0,1360.9,8.724392824287028,10.738566237350504
nga_8.375_7.875,8.375,7.875,37.0,37.0,60534.0,34046.0,26488.0,56.2427726566888,13752.0,13752.0,5732.799999999999,7.808415270756931,2.3983211583572874
nga_8.375_8.125,8.375,8.125,77.0,77.0,38264.0,12699.0,25565.0,33.18785281204265,8997.0,8997.0,3229.6,17.924885532092826,5.363431632866402
nga_8.375_8.375,8.375,8.375,100.0,100.0,183051.0,123378.0,59673.0,67.40088827703755,39814.0,39814.0,16984.099999999995,1.6887342325362873,2.2051543012603045
nga_8.375_8.625,8.375,8.625,124.0,124.0,249778.0,143822.0,105956.0,57.57993097870909,54686.0,54686.0,22402.0,1.0198501869660261,1.5015322686545656
nga_8.375_8.875,8.375,8.875,91.0,91.0,67004.0,33611.0,33393.0,50.162676855113126,15104.0,15104.0,5862.200000000001,1.5897353889320038,2.5440111336636617
nga_8.375_9.125,8.375,9.125,72.0,72.0,62011.0,22451.0,39560.0,36.20486687845705,14180.0,14180.0,5155.0,4.847439970327844,6.287723049136443
nga_8.375_9.375,8.375,9.375,64.0,64.0,21499.0,0.0,21499.0,0.0,5004.0,5004.0,1779.6,7.62198753430392,12.038569514861157
nga_8.375_9.625,8.375,9.625,100.0,100.0,62993.0,0.0,62993.0,0.0,14223.0,14223.0,5026.400000000001,7.2467040782309144,23.141409807438926
nga_8.375_9.875,8.375,9.875,35.0,35.0,22155.0,0.0,22155.0,0.0,5027.0,5027.0,1730.9,21.476735274204465,26.22421868652674
nga_8.375_10.125,8.375,10.125,27.0,27.0,29289.0,0.0,29289.0,0.0,6887.0,6887.0,2371.3,8.913394448427738,24.527541909932054
nga_8.375_10.375,8.375,10.375,54.0,54.0,47390.0,19319.0,28071.0,40.765984384891325,10747.0,10747.0,3754.5,2.7219417598649502,3.206455117113315
nga_8.375_10.625,8.375,10.625,90.0,90.0,111108.0,62481.0,48627.0,56.234474565287826,24551.0,24551.0,8618.699999999999,3.337107499009972,4.139310580696259
nga_8.375_10.875,8.375,10.875,68.0,68.0,24539.0,0.0,24539.0,0.0,5770.0,5770.0,1945.4000000000003,7.280661396144912,29.89701169566812
nga_8.375_11.125,8.375,11.125,89.0,89.0,92119.0,0.0,92119.0,0.0,20697.0,20697.0,7167.1,0.9025908878732942,22.786043118140668
nga_8.375_11.375,8.375,11.375,49.0,49.0,22298.0,0.0,22298.0,0.0,5243.0,5243.0,1804.8999999999999,11.006379944389632,23.857391156157504
nga_8.375_11.625,8.375,11.625,17.0,17.0,3696.0,0.0,3696.0,0.0,869.0,869.0,295.30000000000007,25.429688852813854,36.76896996753247
nga_8.375_11.875,8.375,11.875,129.0,129.0,55039.0,0.0,55039.0,0.0,12808.0,12808.0,4358.7,5.763735351296353,8.943773142680644
nga_8.375_12.125,8.375,12.125,182.0,182.0,243555.0,169613.0,73942.0,69.64053293917185,52937.0,52937.0,19197.0,1.5710196875449076,1.5060246145634457
nga_8.375_12.375,8.375,12.375,14.0,14.0,5622.0,0.0,5622.0,0.0,1322.0,1322.0,450.5,14.680209889718958,13.591344361437208
nga_8.625_2.875,8.625,2.875,44.0,44.0,17821.0,0.0,17821.0,0.0,4190.0,4190.0,1600.5,54.02784131081308,26.460231131810783
nga_8.625_3.125,8.625,3.125,51.0,51.0,13300.0,0.0,13300.0,0.0,3128.0,3128.0,1137.6000000000001,24.369426315789465,20.772878872180446
nga_8.625_3.375,8.625,3.375,108.0,108.0,387130.0,329420.0,57710.0,85.09286286260429,81896.0,81896.0,49634.3,0.18275638674347122,0.7902525895693956
nga_8.625_3.625,8.625,3.625,100.0,100.0,51006.0,20775.0,30231.0,40.730502293847785,11740.0,11740.0,6001.099999999999,2.229052464415951,4.2089199701995845
nga_8.625_3.875,8.625,3.875,15.0,15.0,2923.0,0.0,2923.0,0.0,687.0,687.0,230.79999999999998,12.471792678754705,15.051625042764284
nga_8.625_4.125,8.625,4.125,62.0,62.0,13886.0,2604.0,11282.0,18.752700561716836,3259.0,3259.0,1413.6000000000001,2.826839982716405,7.233991646262423
nga_8.625_4.375,8.625,4.375,107.0,107.0,39555.0,20489.0,19066.0,51.79876121855644,9029.0,9029.0,4992.000000000001,0.8140528378207559,1.9976403488813046
nga_8.625_4.625,8.625,4.625,179.0,179.0,93986.0,54780.0,39206.0,58.2852765305471,21498.0,21498.0,11604.1,0.7677244483220906,1.2332170642436107
nga_8.625_4.875,8.625,4.875,95.0,95.0,28416.0,2887.0,25529.0,10.159769144144144,6681.0,6681.0,3118.5000000000005,3.442337063626126,6.82871748310811
nga_8.625_5.125,8.625,5.125,73.0,73.0,27435.0,8857.0,18578.0,32.283579369418625,6274.0,6274.0,3036.3999999999996,1.5526057955166754,7.87540688901039
nga_8.625_5.375,8.625,5.375,43.0,43.0,12698.0,0.0,12698.0,0.0,2986.0,2986.0,1085.2,4.607983146952275,13.986340604819658
nga_8.625_5.625,8.625,5.625,44.0,44.0,21177.0,238.0,20939.0,1.1238607923690798,4980.0,4980.0,1953.3,3.1236024932710014,6.097790480237993
nga_8.625_5.875,8.625,5.875,62.0,62.0,64313.0,37994.0,26319.0,59.07670299939359,14147.0,14147.0,6398.299999999999,1.9557820347363677,5.3234013030025045
nga_8.625_6.125,8.625,6.125,58.0,58.0,30807.0,0.0,30807.0,0.0,7130.0,7130.0,2841.6,6.129768559093713,20.49613444996267
nga_8.625_6.375,8.625,6.375,72.0,72.0,34268.0,3913.0,30355.0,11.418816388467375,8057.0,8057.0,3227.8,5.997000992179292,7.819073275358936
nga_8.625_6.625,8.625,6.625,46.0,46.0,46156.0,23185.0,22971.0,50.2318225149493,10492.0,10492.0,4373.8,0.607665958921917,2.1040989037178264
nga_8.625_6.875,8.625,6.875,115.0,115.0,77684.0,40259.0,37425.0,51.82405643375727,17517.0,17517.0,6821.6,2.0323146336439937,3.223844678440863
nga_8.625_7.125,8.625,7.125,48.0,48.0,44772.0,3547.0,41225.0,7.922362190654874,9913.0,9913.0,4019.1000000000004,7.678653846153846,7.487683663897079
nga_8.625_7.375,8.625,7.375,46.0,46.0,24735.0,0.0,24735.0,0.0,5718.0,5718.0,2095.8,10.94798746715181,10.724597210430565
nga_8.625_7.625,8.625,7.625,153.0,153.0,216452.0,140735.0,75717.0,65.01903424315783,47846.0,47846.0,21237.5,3.462725685140355,2.0263421035610665
nga_8.625_7.875,8.625,7.875,138.0,138.0,86986.0,57454.0,29532.0,66.04970914859862,20305.0,20305.0,8746.1,7.540260156806842,1.4752993815096682
nga_8.625_8.125,8.625,8.125,94.0,94.0,49674.0,5082.0,44592.0,10.230704191327455,11680.0,11680.0,4276.899999999999,4.79946410597093,8.911608608124974
nga_8.625_8.375,8.625,8.375,271.0,271.0,130692.0,25074.0,105618.0,19.18556606372234,30730.0,30730.0,11954.3,4.987493725706241,3.582396971505525
nga_8.625_8.625,8.625,8.625,180.0,180.0,711057.0,613819.0,97238.0,86.32486565774614,152472.0,152472.0,70747.9,0.7133084126870278,0.45486830591640326
nga_8.625_8.875,8.625,8.875,61.0,61.0,70935.0,28869.0,42066.0,40.69782194967223,16322.0,16322.0,6094.799999999998,4.522858109536901,3.7580755480369357
nga_8.625_9.125,8.625,9.125,96.0,96.0,75193.0,0.0,75193.0,0.0,16376.0,16376.0,6165.5,3.803460960461745,19.93448630856596
nga_8.625_9.375,8.625,9.375,155.0,155.0,62791.0,0.0,62791.0,0.0,14357.0,14357.0,5209.6,2.3392443184532814,23.68065633609912
nga_8.625_9.625,8.625,9.625,86.0,86.0,91758.0,0.0,91758.0,0.0,21369.0,21369.0,7623.6,1.7382174851239127,20.0420760696615
nga_8.625_9.875,8.625,9.875,39.0,39.0,70716.0,0.0,70716.0,0.0,15667.0,15667.0,5692.9,6.151664686916682,21.043204762712822
nga_8.625_10.125,8.625,10.125,22.0,22.0,22266.0,0.0,22266.0,0.0,4933.0,4933.0,1733.4000000000003,19.81632668642774,30.90205245666037
nga_8.625_10.375,8.625,10.375,38.0,38.0,42045.0,15666.0,26379.0,37.260078487335,9658.0,9658.0,3399.7,18.91799976215959,7.240816292068024
nga_8.625_10.625,8.625,10.625,65.0,65.0,48630.0,0.0,48630.0,0.0,11434.0,11434.0,3906.6,3.401044417026527,10.38456456919597
